
0.901234567901 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 500.0, 'classify__degree': 2, 'classify__gamma': 3}
0.901234567901 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 500.0, 'classify__degree': 2, 'classify__gamma': 5}
0.901234567901 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 500.0, 'classify__degree': 2, 'classify__gamma': 5}
0.901234567901 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 600.0, 'classify__degree': 2, 'classify__gamma': 1}
0.901234567901 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 600.0, 'classify__degree': 2, 'classify__gamma': 1}
0.901234567901 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 700.0, 'classify__degree': 2, 'classify__gamma': 4}
0.901234567901 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 700.0, 'classify__degree': 2, 'classify__gamma': 4}
0.901234567901 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 700.0, 'classify__degree': 2, 'classify__gamma': 5}
0.901234567901 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 700.0, 'classify__degree': 2, 'classify__gamma': 5}
0.901234567901 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 800.0, 'classify__degree': 2, 'classify__gamma': 4}
0.901234567901 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 800.0, 'classify__degree': 2, 'classify__gamma': 4}
0.901234567901 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 800.0, 'classify__degree': 2, 'classify__gamma': 5}
0.901234567901 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 800.0, 'classify__degree': 2, 'classify__gamma': 5}
0.901234567901 --- {'classify__C': 100.0, 'classify__tol': 1e-05, 'classify__gamma': 4, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.901234567901 --- {'classify__C': 100.0, 'classify__tol': 1e-08, 'classify__gamma': 4, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.901234567901 --- {'classify__C': 600.0, 'classify__tol': 1e-05, 'classify__gamma': 2, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.901234567901 --- {'classify__C': 600.0, 'classify__tol': 1e-08, 'classify__gamma': 2, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.901234567901 --- {'classify__C': 800.0, 'classify__tol': 1e-05, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
